Year,mortality_cost,Pop,cost_pc,users,medical,criminal_justice,productivity,total,cost,non_fatal_pc,total_cost,total_cost_pc,medical_cost,criminal_cost,productivity_cost
2007,277374302411.3497,301231207,920.802015082553,1862615.0224422873,11595.75076936049,2833.5204643056413,9849.301151275187,24278.57238494132,45221633647.64417,150.12267187723407,322595936058.99384,1070.924686959787,21598419579.507557,5277757783.213332,18345456284.92328
2008,304783017932.8644,304093966,1002.2659178079987,1887195.887484613,11944.20163412556,2944.1462331752905,9961.28003465032,24849.62790195117,46896115582.085144,154.21587017640837,351679133514.9495,1156.4817879844072,22541048203.20875,5556180663.401723,18798886715.47467
2009,318543338146.3448,306771529,1038.3732127447354,2053570.1806942064,12349.809884494369,2870.9262998227173,10315.395773431248,25536.131957748334,52440239118.704346,170.94232730673107,370983577265.04913,1209.3155400514665,25361201316.040195,5895648640.286687,21183389162.37746
2010,324422441562.1951,309326085,1048.8040203987166,2105757.390992059,12769.015317014333,3215.764898981653,10666.714729342093,26651.49494533808,56121582462.13316,181.4317808410279,380544024024.3283,1230.2358012397444,26888448379.49374,6771620703.723448,22461513378.91597
2011,348257927481.71313,311580009,1117.7158913353555,2097320.7634094013,13228.181698888038,3285.0054881302826,10665.854180766682,27179.041367785,57003167790.21854,182.94873272892977,405261095271.93164,1300.6646240642854,27743740139.230133,6889710218.169477,22369717432.81893
2012,345856002288.15424,313874218,1101.8936327167662,2319212.956828345,13718.849244840443,3300.240691653955,10756.857192616215,27775.947129110613,64418336470.012405,205.23615122160945,410274338758.1666,1307.1297839383756,31816932921.408714,7653960972.7359915,24947442575.867702
2013,359827087196.8519,316057727,1138.485334980758,2130957.3149325387,14067.730789583155,3339.408808175634,10810.641478579299,28217.781076338088,60130886995.78761,190.25286161027037,419957974192.6395,1328.7381965910283,29977733830.563923,7116137627.332018,23037015537.89167
2014,397369318499.8313,318386421,1248.0724437045992,2269135.0137651954,14409.106197572737,3481.357700707758,10903.04288186387,28793.506780144366,65336354403.91113,205.2108698565104,462705672903.74243,1453.2833135611095,32696207389.973373,7899670654.117067,24740476359.82069
2015,458234663025.00006,320742673,1428.6675943023024,2412105.866437277,14827.173404437515,3635.756255820793,11048.905865395747,29511.835525654056,71185671600.76219,221.9401333004486,529420334625.76227,1650.607727602751,35764711951.5265,8769828993.601362,26651130655.63432
2016,574204630802.8834,323071342,1777.3307506887547,2247523.4396474445,15407.422385738724,3945.6903215337043,11080.208319826259,30433.321027098686,68399602354.719734,211.71671226326146,642604233157.6031,1989.047462952016,34628542956.49654,8868031483.237062,24903027914.986145
2017,624429123954.3163,325147121,1920.4510316249002,2129366.6596431094,15659.677801212689,4127.034721684876,11225.748597642356,31012.46112053992,66036900743.55589,203.09852518594465,690466024697.8722,2123.549556810845,33345195810.655617,8787970139.545254,23903734793.355022
2018,601570629708.1929,327167434,1838.7240513314441,2044468.6100321566,16073.77659971208,4257.784602671614,11370.966169742676,31702.527372126373,64814822070.997604,198.10902716863197,666385451779.1904,2036.833078500076,32862331702.78076,8704906968.440353,23247583399.776485
