state,state_code,state_name,county_code,county,county.name,state.name,region,death_cost,death_cost_pc,health_cost,health_cost_pc,criminal_cost,criminal_cost_pc,productivity_cost,productivity_cost_pc,total_population,nonfatal_cost,total_cost,per_capita_nf_cost,per_capita_total_cost,X17
AL,01,Alabama,001,Autauga County,autauga,alabama,01001,46322358.47,841.6737857,5369505.752,97.56351754,1407181.468,25.56838193,4768786.736,86.64849801,55036,11545473.96,57867832.43,209.7803975,1051.454183,01001
AL,01,Alabama,003,Baldwin County,baldwin,alabama,01003,106166662.7,522.0626609,17043789.92,83.81092602,5350173.671,26.30887918,18347496.91,90.221759,203360,40741460.5,146908123.2,200.3415642,722.4042251,01003
AL,01,Alabama,005,Barbour County,barbour,alabama,01005,32015893.37,1221.934024,2560685.009,97.73233882,689318.9435,26.30887918,1419867.413,54.19134433,26201,4669871.366,36685764.73,178.2325623,1400.166587,01005
AL,01,Alabama,007,Bibb County,bibb,alabama,01007,23872140.11,1057.224983,2207189.4,97.74975198,632968.8949,28.03228055,1780906.386,78.87096486,22580,4621064.681,28493204.79,204.6529974,1261.87798,01007
AL,01,Alabama,009,Blount County,blount,alabama,01009,73983158.32,1282.937526,7419174.911,128.6554687,1616537.523,28.03228055,4616996.377,80.0630582,57667,13652708.81,87635867.14,236.7508074,1519.688334,01009
AL,01,Alabama,011,Bullock County,bullock,alabama,01011,13278461.5,1267.270615,1026418.992,97.9594381,267905.5059,25.56838193,600448.5277,57.30564304,10478,1894773.026,15173234.53,180.8334631,1448.104078,01011
AL,01,Alabama,013,Butler County,butler,alabama,01013,22278141.82,1106.93341,1968228.284,97.79530377,529492.5025,26.30887918,1127892.859,56.04158097,20126,3625613.645,25903755.46,180.1457639,1287.079174,01013
AL,01,Alabama,015,Calhoun County,calhoun,alabama,01015,94084629.17,814.3951559,12949727.79,112.0926519,3238485.275,28.03228055,8314644.932,71.97144332,115527,24502858,118587487.2,212.0963757,1026.491532,01015
AL,01,Alabama,017,Chambers County,chambers,alabama,01017,35427166.74,1045.203326,3310831.417,97.67905051,866640.3055,25.56838193,2081771.067,61.41823476,33895,6259242.79,41686409.53,184.6656672,1229.868993,01017
AL,01,Alabama,019,Cherokee County,cherokee,alabama,01019,28195882.18,1090.538858,2527527.848,97.75779727,629047.5369,24.32982158,1597069.048,61.77022038,25855,4753644.433,32949526.61,183.8578392,1274.396697,01019
AL,01,Alabama,021,Chilton County,chilton,alabama,01021,42549718.3,971.3438717,4275005.358,97.59172146,1227954.05,28.03228055,3359190.045,76.68508265,43805,8862149.453,51411867.76,202.3090847,1173.652956,01021
AL,01,Alabama,023,Choctaw County,choctaw,alabama,01023,15078854.67,1143.376909,1291163.703,97.90443611,337195.8209,25.56838193,654385.3316,49.6197552,13188,2282744.856,17361599.53,173.0925732,1316.469482,01023
AL,01,Alabama,025,Clarke County,clarke,alabama,01025,26996223.58,1096.293343,2407023.394,97.74714289,647856.1499,26.30887918,1313042.291,53.32151436,24625,4367921.835,31364145.42,177.3775364,1273.67088,01025
AL,01,Alabama,027,Clay County,clay,alabama,01027,16972138.21,1265.916179,1312199.983,97.87424355,375828.7854,28.03228055,875101.4718,65.27198268,13407,2563130.241,19535268.45,191.1785068,1457.094686,01027
AL,01,Alabama,029,Cleburne County,cleburne,alabama,01029,17776078.68,1189.910883,1461757.114,97.84839109,418774.2392,28.03228055,1100614.574,73.67391219,14939,2981145.928,20757224.61,199.5545838,1389.465467,01029
AL,01,Alabama,031,Coffee County,coffee,alabama,01031,45840972.96,897.5578673,4983355.987,97.57319888,1343673.387,26.30887918,4026691.776,78.84188859,51073,10353721.15,56194694.11,202.7239667,1100.281834,01031
AL,01,Alabama,033,Colbert County,colbert,alabama,01033,51649300.91,948.825221,5311781.356,97.58025822,1324393.838,24.32982158,3773839.637,69.32744809,54435,10410014.83,62059315.74,191.2375279,1140.062749,01033
AL,01,Alabama,035,Conecuh County,conecuh,alabama,01035,15603076.26,1233.542277,1238416.307,97.90626189,332781.0128,26.30887918,566120.2592,44.7561277,12649,2137317.579,17740393.84,168.9712688,1402.513546,01035
AL,01,Alabama,037,Coosa County,coosa,alabama,01037,13356887.57,1219.250349,1072741.232,97.92252236,307093.6335,28.03228055,702995.6257,64.17121183,10955,2082830.492,15439718.06,190.1260147,1409.376363,01037
AL,01,Alabama,039,Covington County,covington,alabama,01039,42681048.48,1137.584916,3663606.518,97.64669949,987082.8381,26.30887918,2050336.702,54.64795709,37519,6701026.058,49382074.54,178.6035358,1316.188452,01039
AL,01,Alabama,041,Crenshaw County,crenshaw,alabama,01041,15771757.1,1137.441014,1357263.776,97.88430522,364798.9188,26.30887918,826599.2806,59.61339107,13866,2548661.976,18320419.07,183.8065755,1321.247589,01041
AL,01,Alabama,043,Cullman County,cullman,alabama,01043,67052629.09,820.6874789,8459050.486,103.5341479,1987819.413,24.32982158,5050987.476,61.82132205,81703,15497857.37,82550486.46,189.6852915,1010.37277,01043
AL,01,Alabama,045,Dale County,dale,alabama,01045,47598404.5,963.6670075,4819826.603,97.58116744,1299474.47,26.30887918,3217194.771,65.13462982,49393,9336495.843,56934900.35,189.0246764,1152.691684,01045
AL,01,Alabama,047,Dallas County,dallas,alabama,01047,44063835.77,1081.188462,3979118.659,97.63510388,1042039.406,25.56838193,1866207.237,45.79087811,40755,6887365.301,50951201.08,168.9943639,1250.182826,01047
