region,county.name,state.name,death_cost,death_cost_pc,health_cost,health_cost_pc,criminal_cost,criminal_cost_pc,productivity_cost,productivity_cost_pc,total_population,nonfatal_cost,total_cost,per_capita_nf_cost,per_capita_total_cost
1001,autauga,alabama,51419520.50749501,934.2888383511703,3399610.7786413888,61.77067335273982,1297644.3911315196,23.578101445081757,4334881.294856589,78.76446861793352,55036,9032136.464629497,60451656.9721245,164.1132434157551,1098.4020817669252
1003,baldwin,alabama,178897365.35856283,879.7077368143333,16171574.60843166,79.52190503752783,4933708.277002258,24.260957302332113,16678083.035078287,82.0126034376391,203360,37783365.92051221,216680731.27907503,185.79546577749906,1065.5032025918324
1005,barbour,alabama,31111826.00794142,1187.4289533964895,1626037.862470094,62.060145126907145,635661.3422784037,24.260957302332113,1290675.6012869736,49.260547356473936,26201,3552374.806035471,34664200.81397689,135.58164978571318,1323.0106031822027
1007,bibb,alabama,29280036.056702442,1296.7243603499753,1586372.202863222,70.25563343061214,583697.6643884073,25.85020657167437,1618864.1282129085,71.69460266664785,22580,3788933.9954645373,33068970.05216698,167.80044266893432,1464.5248030189096
1009,blount,alabama,80522004.47378023,1396.3272664397355,4732253.812199563,82.06173049056761,1490703.8623687457,25.850206571674367,4196902.134555309,72.77822904876808,57667,10419859.809123617,90941864.28290385,180.69016611101006,1577.0174325507458
1011,bullock,alabama,13670922.587559447,1304.7263397174506,593495.1670914898,56.64202778120727,247051.3469415667,23.578101445081764,545814.530029513,52.091480247138094,10478,1386361.0440625693,15057283.631622016,132.3116094734271,1437.0379491908777
1013,butler,alabama,19430618.212893426,965.4485845619312,1113222.121463818,55.31263646347103,488276.0266667361,24.260957302332113,1025267.4160796821,50.94243347310355,20126,2626765.564210236,22057383.777103662,130.5160272389067,1095.964611800838
1015,calhoun,alabama,114953299.10269776,995.0340535346521,7651838.558127947,66.2342011662031,2986396.8146058246,25.850206571674367,7558106.659568037,65.4228592412859,115527,18196342.03230181,133149641.13499957,157.5072669791634,1152.5413205138157
1017,chambers,alabama,52175250.25193201,1539.319966128692,2727433.509880991,80.46713408706273,799179.7484810464,23.578101445081764,1892353.5393531835,55.8298728235192,33895,5418966.797715221,57594217.04964723,159.87510835566368,1699.1950744843555
1019,cherokee,alabama,38614649.64268849,1493.508011707155,2257738.947056273,87.32310760225384,580081.5507319409,22.435952455306165,1451753.8999302464,56.149831751314885,25855,4289574.39771846,42904224.04040695,165.9088918088749,1659.4169035160298
1021,chilton,alabama,45290681.774883725,1033.9158035585829,2833107.9850986158,64.67544766804282,1132368.2988721954,25.850206571674363,3053541.8962497334,69.70761091769737,43805,7019018.180220544,52309699.95510427,160.23326515741454,1194.1490687159974
1023,choctaw,alabama,8401640.195972504,637.0670454938205,542092.7925267859,41.105003982922796,310948.0018577383,23.578101445081764,594843.6971918336,45.10492092749724,13188,1447884.4915763577,9849524.68754886,109.7880263555018,746.8550718493221
1025,clarke,alabama,24986566.960481267,1014.6829222530464,1442576.6251359219,58.58179188369226,597426.0735699282,24.26095730233211,1193570.3527860397,48.46986204207268,24625,3233573.05149189,28220140.011973158,131.31261122809707,1145.9955334811434
1027,clay,alabama,14728625.579218125,1098.5772789750224,800636.2918007623,59.717781144235275,346573.71950643824,25.850206571674367,795477.1750337234,59.3329734492223,13407,1942687.186340924,16671312.76555905,144.90096116513195,1243.4782401401544
1029,cleburne,alabama,22703101.092548665,1519.7202685955328,1175468.5080869764,78.68455104672177,386176.2359742434,25.850206571674367,1000471.1458500575,66.9704227759594,14939,2562115.889911277,25265216.98245994,171.50518039435553,1691.2254489898883
