state.name,criminal_cost,health_cost,productivity_cost,death_cost,total_nonfatal_cost,total_cost,total_population,criminal_cost_pc,health_cost_pc,productivity_cost_pc,death_cost_pc,per_capita_nf_cost,per_capita_total_cost,region
alabama,142355672.92692912,429252898.2382537,418271684.336883,6084603371.386391,989880255.5020659,7074483626.888456,4850771,29.347019871053305,88.49168477305025,86.2278768337823,1254.3579920359857,204.06658147788588,1458.4245735138716,alabama
alaska,66930973.24922877,114197081.66784997,115039435.47906573,1549061867.4859846,296167490.39614445,1845229357.882129,730436,91.63153684816845,156.34098219125286,157.4942027488592,2120.7359268792675,405.4667217882805,2526.2026486675477,alaska
arizona,487318440.123792,802859305.8911235,1166461982.3979166,13215870166.749796,2456639728.4128323,15672509895.162628,6809946,71.55980974354158,117.89510605386937,171.2879929441315,1940.6718007381844,360.74290874154246,2301.4147094797268,arizona
arkansas,48837326.20617509,170216237.98894507,131168143.84541975,3809854863.2763405,350221708.0405399,4160076571.31688,2977944,16.399679176698786,57.15897880851523,44.046544812602164,1279.3574571168365,117.60520279781619,1396.9626599146527,arkansas
california,986745157.6286055,4603919493.314924,1892037999.6511526,34149138646.29013,7482702650.594683,41631841296.88481,38982847,25.312290752612437,118.1011610905413,48.535141613724434,876.0042242756188,191.94859345687817,1067.952817732497,california
colorado,332219710.29296213,500350784.1985678,1064593220.2362659,9406015303.473455,1897163714.7277958,11303179018.201252,5436519,61.1089026439459,92.03513943362799,195.8225879899005,1730.154038544417,348.9666300674744,2079.1206686118917,colorado
connecticut,159974176.0539823,727281413.2760841,455150920.12135565,13760135147.217844,1342406509.451422,15102541656.669266,3594478,44.50553767584119,202.33297109513094,126.62503988655811,3828.131691783298,373.4635486575302,4201.595240440828,connecticut
delaware,87331132.70185474,170645849.1618524,181799531.93963015,3907543449.5141954,439776513.8033373,4347319963.317533,943732,92.53806451604346,180.82024257082773,192.63893980455273,4140.522361766048,465.9972468914239,4606.5196086574715,delaware
district of columbia,197694562.9636237,169941009.45610666,403741784.45606524,3419100518.3249207,771377356.8757956,4190477875.200716,672391,294.01726519781454,252.7413505774269,600.4568539080167,5084.98852353009,1147.215469683258,6232.2039932133475,district of columbia
florida,224172573.01842445,2069290782.5916183,489189390.819806,48621004921.81235,2782652746.4298487,51403657668.242195,20278447,11.05472095661095,102.04384894916353,24.123612169107723,2397.669058277113,137.2221820748822,2534.8912403519953,florida
georgia,279888780.83134675,369534983.541376,876520224.3340603,15071953305.26904,1525943988.706783,16597897293.975822,10201635,27.435678774171663,36.22311360300344,85.9195829231354,1477.405661471817,149.57837530031048,1626.9840367721274,georgia
hawaii,118399612.2998325,125198411.324591,397328467.84856665,976885862.3785489,640926491.4729902,1617812353.8515391,1421572,83.28780554191592,88.07039764752753,279.4993625708488,687.1870453121959,450.85756576029223,1138.0446110724881,hawaii
idaho,41203168.438637204,157027348.53581652,107852302.26300138,1772350064.6010814,306082819.2374551,2078432883.8385365,1657375,24.86049834143583,94.74461032404648,65.07416985474102,1069.3717864702203,184.67927852022333,1254.0510649904436,idaho
illinois,580797440.2415345,1168720006.349557,1697570490.263998,31413858231.63019,3447087936.855089,34860946168.48528,12854526,45.18233035131241,90.9189499752505,132.06013899415646,2443.797478929226,268.16141932071935,2711.958898249946,illinois
indiana,106041698.55334868,548432381.1209037,390270900.15155977,16788481320.591347,1044744979.8258121,17833226300.41716,6614418,16.03190160545473,82.91468442437471,59.00305970254069,2538.1645551568326,157.94964573237013,2696.114200889203,indiana
iowa,66779688.9122136,144887943.3225481,215996693.08217523,3126034759.611356,427664325.3169369,3553699084.9282928,3118102,21.41677498433778,46.46671062157302,69.271849696442,1002.5440988175999,137.15533530235282,1139.6994341199527,iowa
kansas,81958957.95832087,270360316.2210513,258711737.43683308,2372437094.3479047,611031011.6162052,2983468105.96411,2903820,28.22453112049675,93.1050534196511,89.09358618538101,817.0055631368007,210.42317072552885,1027.4287338623296,kansas
kentucky,105037742.50669113,479935703.17006683,316012428.00707316,16886169906.8292,900985873.6838311,17787155780.51303,4424376,23.740690779149677,108.47534277603594,71.42531014702936,3816.621803126407,203.64134370221498,4020.2631468286218,kentucky
louisiana,164681183.84825572,313648815.80310726,310529113.0159875,6154380932.984858,788859112.6673505,6943240045.652208,4663461,35.313082675775725,67.25666105133232,66.58769377850217,1319.7024555335313,169.1574375056102,1488.8598930391415,louisiana
maine,22490029.83980184,199378876.5348544,77167488.70707506,5177495070.606309,299036395.0817313,5476531465.68804,1330158,16.907788277634566,149.89112311082926,58.013776338656804,3892.391032197911,224.81268772712062,4117.203719925032,maine
maryland,151696540.99379975,868372067.9256696,406292145.00879645,28692533329.289948,1426360753.9282658,30118894083.218212,5996079,25.299289918261543,144.8233200272494,67.75963842517693,4785.216026888563,237.88224837068788,5023.098275259251,maryland
massachusetts,217779792.2818713,925185114.3521496,795248781.4788048,27185337998.763046,1938213688.1128256,29123551686.875874,6789319,32.076824241410854,136.27067962959902,117.13233410873828,4004.1332567762756,285.47983797974814,4289.613094756024,massachusetts
michigan,173940217.78320247,963306481.9353045,440059618.7509941,29515908556.151867,1577306318.469501,31093214874.62137,9925568,17.524459837784846,97.0530333312214,44.335963317262454,2973.724884676813,158.9134564862687,3132.638341163082,michigan
minnesota,153898305.2861229,710921052.6402978,487410985.3750061,7284777430.880035,1352230343.301427,8637007774.181461,5490726,28.028771657176645,129.47669445539583,88.76986128519363,1326.7421158659229,246.27532739776615,1573.0174432636888,minnesota
mississippi,57283814.102160364,150775206.56449932,146641086.85886216,2637591828.4220815,354700107.5255219,2992291935.947603,2986220,19.18271731558973,50.490321062915434,49.1059221553878,883.2543578243001,118.77896053389297,1002.033318358193,mississippi
