Census Division Code,Year,urbanization,cost,cost_pc,total_deaths,Census Division
CENS-D1,2007,Large Central Metro,3437.4474240512554,1557.5020067961389,1308,New England
CENS-D1,2007,Fringe/Small/Medium Metro,13315.972669253766,3869.027883482425,1308,New England
CENS-D1,2007,Micropolitan/Rural,2605.9911592366207,2897.3690322867365,1308,New England
CENS-D1,2008,Large Central Metro,3259.429134657505,1469.5478160802572,1239,New England
CENS-D1,2008,Fringe/Small/Medium Metro,13869.704613301863,3839.2054646903453,1239,New England
CENS-D1,2008,Micropolitan/Rural,2115.3279986464213,2379.2261007109414,1239,New England
CENS-D1,2009,Large Central Metro,3377.3624829496857,1511.6753907799425,1265,New England
CENS-D1,2009,Fringe/Small/Medium Metro,13656.347853353622,3915.102502372101,1265,New England
CENS-D1,2009,Micropolitan/Rural,2137.182534422147,2457.217945627735,1265,New England
CENS-D1,2010,Large Central Metro,2877.295359268782,1282.9581430580147,1169,New England
CENS-D1,2010,Fringe/Small/Medium Metro,13037.57729691681,3708.7342071203607,1169,New England
CENS-D1,2010,Micropolitan/Rural,1936.187905720886,2161.7440977033502,1169,New England
CENS-D1,2011,Large Central Metro,3400.789274277391,1509.8875902181064,1340,New England
CENS-D1,2011,Fringe/Small/Medium Metro,14379.591337161713,4069.6154041292225,1340,New England
CENS-D1,2011,Micropolitan/Rural,2252.862654636126,2582.1462022065894,1340,New England
CENS-D1,2012,Large Central Metro,3251.7905056274294,1432.5017822084458,1355,New England
CENS-D1,2012,Fringe/Small/Medium Metro,14959.199934909899,4142.41255190067,1355,New England
CENS-D1,2012,Micropolitan/Rural,2060.585963127075,2361.7777718618945,1355,New England
CENS-D1,2013,Large Central Metro,4946.87176671224,2167.4228672817744,1917,New England
CENS-D1,2013,Fringe/Small/Medium Metro,19836.00787374695,5496.384867280034,1917,New England
CENS-D1,2013,Micropolitan/Rural,2815.2301685311554,3101.953157639854,1917,New England
CENS-D1,2014,Large Central Metro,5581.614858036494,2429.733271593228,2451,New England
CENS-D1,2014,Fringe/Small/Medium Metro,25204.221588046545,7116.122799872277,2451,New England
CENS-D1,2014,Micropolitan/Rural,3763.818593570863,4147.419765559597,2451,New England
CENS-D1,2015,Large Central Metro,7377.967347937391,3197.4757026470484,3248,New England
CENS-D1,2015,Fringe/Small/Medium Metro,33544.871631186514,9154.79795381772,3248,New England
CENS-D1,2015,Micropolitan/Rural,4401.924253134716,4794.917676760531,3248,New England
CENS-D1,2016,Large Central Metro,8815.621459932105,3815.80400223526,4028,New England
CENS-D1,2016,Fringe/Small/Medium Metro,41393.5489437287,11375.80871652071,4028,New England
CENS-D1,2016,Micropolitan/Rural,5093.421178951285,5921.1988864807245,4028,New England
CENS-D1,2017,Large Central Metro,9062.715542104215,3888.4359879349645,4101,New England
CENS-D1,2017,Fringe/Small/Medium Metro,39777.51433531799,10885.783743108615,4101,New England
CENS-D1,2017,Micropolitan/Rural,5258.557684445747,5921.83054791084,4101,New England
CENS-D1,2018,Large Central Metro,8226.518662511726,3521.5763914772288,4075,New England
CENS-D1,2018,Fringe/Small/Medium Metro,38930.55523267121,10526.005499757874,4075,New England
CENS-D1,2018,Micropolitan/Rural,5863.100830111718,6360.6574095721035,4075,New England
CENS-D2,2007,Large Central Metro,11890.519092381113,831.0227803089825,1913,Middle Atlantic
CENS-D2,2007,Fringe/Small/Medium Metro,14271.098567654384,1715.6014497959143,1913,Middle Atlantic
CENS-D2,2007,Micropolitan/Rural,1717.4393175983532,1241.5319910346057,1913,Middle Atlantic
CENS-D2,2008,Large Central Metro,12915.06886187133,898.388825749205,2136,Middle Atlantic
CENS-D2,2008,Fringe/Small/Medium Metro,16722.023846916527,2012.119886605124,2136,Middle Atlantic
CENS-D2,2008,Micropolitan/Rural,2082.257710225291,1580.50888140145,2136,Middle Atlantic
CENS-D2,2009,Large Central Metro,11028.896539537483,761.9741775823065,1818,Middle Atlantic
CENS-D2,2009,Fringe/Small/Medium Metro,14190.89267076736,1816.8083079137766,1818,Middle Atlantic
CENS-D2,2009,Micropolitan/Rural,2028.6588025056863,1495.1891671064063,1818,Middle Atlantic
CENS-D2,2010,Large Central Metro,11774.815231511238,809.6771679840881,2139,Middle Atlantic
CENS-D2,2010,Fringe/Small/Medium Metro,17485.10099883934,2012.2773522464747,2139,Middle Atlantic
CENS-D2,2010,Micropolitan/Rural,2003.7143157053938,1494.9275027936624,2139,Middle Atlantic
CENS-D2,2011,Large Central Metro,13973.719731254423,954.6223998676335,2665,Middle Atlantic
CENS-D2,2011,Fringe/Small/Medium Metro,22068.387780717985,2567.3123298896453,2665,Middle Atlantic
CENS-D2,2011,Micropolitan/Rural,3050.85359696797,2361.2867189245612,2665,Middle Atlantic
CENS-D2,2012,Large Central Metro,16253.915355787236,1100.8734464939625,3041,Middle Atlantic
CENS-D2,2012,Fringe/Small/Medium Metro,24855.412416277035,2905.305213630862,3041,Middle Atlantic
CENS-D2,2012,Micropolitan/Rural,2857.231238888973,2108.392694699198,3041,Middle Atlantic
CENS-D2,2013,Large Central Metro,15657.531457662284,1053.804136628892,3413,Middle Atlantic
CENS-D2,2013,Fringe/Small/Medium Metro,28407.327313222715,3556.175013194313,3413,Middle Atlantic
CENS-D2,2013,Micropolitan/Rural,3139.901900248638,2437.797164330995,3413,Middle Atlantic
CENS-D2,2014,Large Central Metro,16300.817471237899,1088.6735192604,3654,Middle Atlantic
CENS-D2,2014,Fringe/Small/Medium Metro,29365.41375035769,3774.4911240743054,3654,Middle Atlantic
CENS-D2,2014,Micropolitan/Rural,3391.708072344228,2604.2580621063757,3654,Middle Atlantic
CENS-D2,2015,Large Central Metro,21378.099154070303,1420.6095178715216,4490,Middle Atlantic
CENS-D2,2015,Fringe/Small/Medium Metro,34648.42169940186,4466.285568413363,4490,Middle Atlantic
CENS-D2,2015,Micropolitan/Rural,4820.040922380833,3406.9473442272847,4490,Middle Atlantic
CENS-D2,2016,Large Central Metro,31050.584453995743,2065.8782847342613,6817,Middle Atlantic
CENS-D2,2016,Fringe/Small/Medium Metro,53590.92031561155,6857.945335361243,6817,Middle Atlantic
CENS-D2,2016,Micropolitan/Rural,6493.980178555615,4447.495513821102,6817,Middle Atlantic
CENS-D2,2017,Large Central Metro,34637.74622323225,2284.269468167303,7886,Middle Atlantic
CENS-D2,2017,Fringe/Small/Medium Metro,60486.091395429976,7488.968781112366,7886,Middle Atlantic
CENS-D2,2017,Micropolitan/Rural,6519.642153536639,4602.656974284661,7886,Middle Atlantic
CENS-D2,2018,Large Central Metro,37897.62581997851,2543.9042838661194,8574,Middle Atlantic
CENS-D2,2018,Fringe/Small/Medium Metro,64972.78845843184,7746.181050926008,8574,Middle Atlantic
CENS-D2,2018,Micropolitan/Rural,5986.594638900903,4405.5431695014095,8574,Middle Atlantic
CENS-D3,2007,Large Central Metro,13515.814523820472,1064.3314778007907,2658,East North Central
CENS-D3,2007,Fringe/Small/Medium Metro,19059.46429329614,2297.3426105541566,2658,East North Central
CENS-D3,2007,Micropolitan/Rural,5846.004980852095,1340.8260113502645,2658,East North Central
CENS-D3,2008,Large Central Metro,16898.347572517738,1332.3745269326216,3118,East North Central
CENS-D3,2008,Fringe/Small/Medium Metro,23901.17906647291,2838.072200909795,3118,East North Central
CENS-D3,2008,Micropolitan/Rural,6560.634989271192,1453.6080601553954,3118,East North Central
CENS-D3,2009,Large Central Metro,16587.410348558333,1305.6427487541982,3141,East North Central
CENS-D3,2009,Fringe/Small/Medium Metro,24018.46949260615,2831.979236723193,3141,East North Central
CENS-D3,2009,Micropolitan/Rural,7138.555286397934,1603.2510691617488,3141,East North Central
CENS-D3,2010,Large Central Metro,17513.183218979782,1377.3727712288046,3563,East North Central
CENS-D3,2010,Fringe/Small/Medium Metro,27983.430754308047,3261.308162571932,3563,East North Central
CENS-D3,2010,Micropolitan/Rural,7726.890512398369,1738.2516328873198,3563,East North Central
CENS-D3,2011,Large Central Metro,19140.35705894024,1502.2752734608198,3903,East North Central
CENS-D3,2011,Fringe/Small/Medium Metro,30813.81315861032,3621.7615441228418,3903,East North Central
CENS-D3,2011,Micropolitan/Rural,8415.5505777857,1870.627708322677,3903,East North Central
CENS-D3,2012,Large Central Metro,21143.855142646327,1655.0903333456745,4200,East North Central
CENS-D3,2012,Fringe/Small/Medium Metro,32359.050259126314,3816.1081123909,4200,East North Central
CENS-D3,2012,Micropolitan/Rural,8161.959357566505,1792.9735948642233,4200,East North Central
CENS-D3,2013,Large Central Metro,23411.050213536488,1828.7148479154357,4759,East North Central
CENS-D3,2013,Fringe/Small/Medium Metro,34156.75199030321,3992.2942926515,4759,East North Central
CENS-D3,2013,Micropolitan/Rural,9473.099566479848,2148.1391747909083,4759,East North Central
CENS-D3,2014,Large Central Metro,23899.37656947186,1862.9184110459648,5643,East North Central
CENS-D3,2014,Fringe/Small/Medium Metro,41636.92252133173,4895.575867660915,5643,East North Central
CENS-D3,2014,Micropolitan/Rural,11423.70327365861,2532.2530850298363,5643,East North Central
CENS-D3,2015,Large Central Metro,29591.595269457746,2303.580007019955,6727,East North Central
CENS-D3,2015,Fringe/Small/Medium Metro,48807.22410941805,5832.145730433815,6727,East North Central
CENS-D3,2015,Micropolitan/Rural,13598.181807157778,2967.7066443208705,6727,East North Central
CENS-D3,2016,Large Central Metro,41654.35395144499,3251.532389015683,9201,East North Central
CENS-D3,2016,Fringe/Small/Medium Metro,65570.9748077357,7768.5124055122305,9201,East North Central
CENS-D3,2016,Micropolitan/Rural,16685.97453868706,3708.3696478790253,9201,East North Central
CENS-D3,2017,Large Central Metro,46632.50042553857,3623.3610124368383,10863,East North Central
CENS-D3,2017,Fringe/Small/Medium Metro,74716.06654967861,8818.882058105364,10863,East North Central
CENS-D3,2017,Micropolitan/Rural,19857.80696384339,4406.634774534606,10863,East North Central
CENS-D3,2018,Large Central Metro,43686.73014379268,3396.6042722662305,9581,East North Central
CENS-D3,2018,Fringe/Small/Medium Metro,61629.48680295023,7213.8726108916535,9581,East North Central
CENS-D3,2018,Micropolitan/Rural,16145.097043373826,3631.24488812463,9581,East North Central
CENS-D4,2007,Large Central Metro,2463.287826850321,944.8223139382869,910,West North Central
CENS-D4,2007,Fringe/Small/Medium Metro,7732.32713049591,2088.4939395198417,910,West North Central
CENS-D4,2007,Micropolitan/Rural,2810.1171619928928,867.6508573894525,910,West North Central
CENS-D4,2008,Large Central Metro,3078.8050333579176,1174.4686740930738,1059,West North Central
CENS-D4,2008,Fringe/Small/Medium Metro,9192.347053697335,2384.208217083014,1059,West North Central
CENS-D4,2008,Micropolitan/Rural,3847.442532269232,1182.5563101683615,1059,West North Central
CENS-D4,2009,Large Central Metro,3224.97964348713,1220.2353928339494,1255,West North Central
CENS-D4,2009,Fringe/Small/Medium Metro,11380.490776983952,2932.109010470158,1255,West North Central
CENS-D4,2009,Micropolitan/Rural,4186.195798103122,1296.5412644338799,1255,West North Central
CENS-D4,2010,Large Central Metro,3288.956221711421,1239.003638594675,1240,West North Central
CENS-D4,2010,Fringe/Small/Medium Metro,11118.1566860657,2833.9420895700828,1240,West North Central
CENS-D4,2010,Micropolitan/Rural,4258.55514452968,1306.376884249183,1240,West North Central
CENS-D4,2011,Large Central Metro,3473.808207812394,1297.3802257776845,1322,West North Central
CENS-D4,2011,Fringe/Small/Medium Metro,11827.345788003355,2926.4771463804727,1322,West North Central
CENS-D4,2011,Micropolitan/Rural,4128.039524079266,1272.9205304937143,1322,West North Central
CENS-D4,2012,Large Central Metro,3544.302893587771,1312.5701154317765,1318,West North Central
CENS-D4,2012,Fringe/Small/Medium Metro,11289.051769279313,2808.2744345777683,1318,West North Central
CENS-D4,2012,Micropolitan/Rural,4193.368647273712,1285.6878966569236,1318,West North Central
CENS-D4,2013,Large Central Metro,3895.5841939910574,1430.1473891851758,1409,West North Central
CENS-D4,2013,Fringe/Small/Medium Metro,11374.768904268853,2775.4217630409416,1409,West North Central
CENS-D4,2013,Micropolitan/Rural,4431.64507708164,1359.2801489102153,1409,West North Central
CENS-D4,2014,Large Central Metro,4052.659942417571,1476.201920577669,1542,West North Central
CENS-D4,2014,Fringe/Small/Medium Metro,12565.810844735184,3041.2047435669256,1542,West North Central
CENS-D4,2014,Micropolitan/Rural,4154.592173735828,1276.8462705058757,1542,West North Central
CENS-D4,2015,Large Central Metro,3876.9056522602204,1402.3438022492378,1536,West North Central
CENS-D4,2015,Fringe/Small/Medium Metro,12407.197336433985,3002.4404965502395,1536,West North Central
CENS-D4,2015,Micropolitan/Rural,4088.3100532305634,1252.5021797015218,1536,West North Central
CENS-D4,2016,Large Central Metro,5632.0442950136285,2028.5881342984042,1849,West North Central
CENS-D4,2016,Fringe/Small/Medium Metro,14567.052886479989,3434.7425564652153,1849,West North Central
CENS-D4,2016,Micropolitan/Rural,3926.3450850652735,1212.2129481515449,1849,West North Central
CENS-D4,2017,Large Central Metro,5685.001938831922,2024.9202013706488,1925,West North Central
CENS-D4,2017,Fringe/Small/Medium Metro,14205.403962620452,3324.523965562445,1925,West North Central
CENS-D4,2017,Micropolitan/Rural,4267.6675557678755,1319.9932566487275,1925,West North Central
CENS-D4,2018,Large Central Metro,5444.4386080546055,1935.6056290352315,1989,West North Central
CENS-D4,2018,Fringe/Small/Medium Metro,15735.80676658655,3597.777847099073,1989,West North Central
